pair_id,customer_message,gold_intent,predicted_intent,confidence,routing_decision,retrieved_case,generated_reply,failure_type,what_failed,likely_cause,potential_improvement
pair_104,Can I change the delivery address for order 402-9182312 since I won't be home tomorrow?,DELIVERY_STATUS,GENERAL_OTHER,0.2325,ESCALATE_HUMAN,"If the item hasn't shipped, we can cancel it! Please DM us your order details immediately.",Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'GENERAL_OTHER' instead of true gold intent 'DELIVERY_STATUS'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_105,Why is my package stuck at the local sorting facility for 3 days straight without updates?,DELIVERY_STATUS,nan,0.4183,AUTO_HANDLE,@user101 We understand your frustration! Please DM us your order ID to check.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'DELIVERY_STATUS'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_202,The return portal won't let me print a QR code for my shoe return. Need a QR code instead of printed label.,REFUND_RETURN,nan,0.3941,AUTO_HANDLE,You can generate a return label in Your Orders or DM us so we can email it.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'REFUND_RETURN'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_203,You issued a gift card balance refund instead of back to my original credit card. Please fix this!,REFUND_RETURN,PAYMENT_CHARGE,0.4839,ESCALATE_HUMAN,Please send us a DM with your gift card claim code so we can investigate.,"Hello! For payment or billing inquiries, please DM us your order details and account email so we can verify charges safely.",Misclassified Intent,Predicted intent 'PAYMENT_CHARGE' instead of true gold intent 'REFUND_RETURN'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_502,Someone logged into my account from abroad and ordered an expensive laptop. I suspect fraudulent unauthorized activity!,ACCOUNT_ACCESS,nan,0.497,ESCALATE_HUMAN,@user104 Please DM us immediately so our Security team can lock the unauthorized order.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'ACCOUNT_ACCESS'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_601,The glass jar of sauce inside my package arrived completely shattered and leaked all over the other items.,DAMAGED_WRONG_MISSING_ITEM,nan,0.6078,AUTO_HANDLE,@user105 We are so sorry! Please DM us photos of the broken jar and your order number.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'DAMAGED_WRONG_MISSING_ITEM'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_028,Box for order #4028-900084 arrived crushed and internal monitor screen is cracked.,DAMAGED_WRONG_MISSING_ITEM,nan,0.3182,AUTO_HANDLE,@user105 We are so sorry! Please DM us photos of the broken jar and your order number.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'DAMAGED_WRONG_MISSING_ITEM'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_031,Why am I not getting free 1-day delivery on Prime eligible item order #4031-900093?,PRIME_SUBSCRIPTION,DELIVERY_STATUS,0.2511,AUTO_HANDLE,We apologize for the delay! Please DM us your order number to track the driver.,Hello! We understand you are inquiring about your package delivery. Please send us a DM with your order ID so we can track the exact status for you.,Misclassified Intent,Predicted intent 'DELIVERY_STATUS' instead of true gold intent 'PRIME_SUBSCRIPTION'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_043,Box for order #4043-900129 arrived crushed and internal monitor screen is cracked.,DAMAGED_WRONG_MISSING_ITEM,nan,0.3486,AUTO_HANDLE,@user105 We are so sorry! Please DM us photos of the broken jar and your order number.,Hello! Thanks for reaching out! Please send us a DM with further details so we can assist you right away.,Misclassified Intent,Predicted intent 'nan' instead of true gold intent 'DAMAGED_WRONG_MISSING_ITEM'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
pair_gold_046,Why am I not getting free 1-day delivery on Prime eligible item order #4046-900138?,PRIME_SUBSCRIPTION,DELIVERY_STATUS,0.2553,AUTO_HANDLE,We apologize for the delay! Please DM us your order number to track the driver.,Hello! We understand you are inquiring about your package delivery. Please send us a DM with your order ID so we can track the exact status for you.,Misclassified Intent,Predicted intent 'DELIVERY_STATUS' instead of true gold intent 'PRIME_SUBSCRIPTION'.,Overlapping domain vocabulary (e.g. delivery query mentioning refund or payment).,Fine-tune domain-specific SentenceTransformer on customer support intent pairs.
