pair_id,customer_tweet_id,customer_clean_text,support_response,gold_intent,gold_should_escalate,human_quality_rating
pair_101,tw_101,My package was supposed to arrive yesterday by 8 PM but tracking still says in transit. Where is it?,We understand your concern regarding the delivery delay! Please send us a Direct Message (DM) with your order ID so we can investigate.,DELIVERY_STATUS,False,5.0
pair_102,tw_102,"Hey Amazon, tracking shows delivered to receptionist but I live in an apartment with no front desk. Where is my item?",Sorry to hear you haven't received your package! Please DM us your order number and full delivery address so we can locate it.,DELIVERY_STATUS,False,4.5
pair_103,tw_103,Delivery driver marked my shipment as attempted delivery but no one rang my doorbell all morning.,We apologize for the inconvenience! Please DM us your order ID so we can coordinate with the local carrier for re-delivery.,DELIVERY_STATUS,False,4.0
pair_104,tw_104,Can I change the delivery address for order 402-9182312 since I won't be home tomorrow?,Address changes depend on shipment status. Please DM us your order details and updated address right away.,DELIVERY_STATUS,False,4.0
pair_105,tw_105,Why is my package stuck at the local sorting facility for 3 days straight without updates?,That certainly shouldn't happen! Please DM us your order number so we can reach out to the carrier for an update.,DELIVERY_STATUS,False,4.5
pair_201,tw_201,I dropped off my return package at UPS 5 days ago. When will the refund hit my bank account?,Refunds usually process within 3-5 business days after carrier scan. Please DM us your tracking number and order details to verify.,REFUND_RETURN,False,5.0
pair_202,tw_202,The return portal won't let me print a QR code for my shoe return. Need a QR code instead of printed label.,We can help generate a QR code! Please send us a DM with your order ID and return request details.,REFUND_RETURN,False,4.0
pair_203,tw_203,You issued a gift card balance refund instead of back to my original credit card. Please fix this!,We apologize for the refund method mixup. Please send us a DM with your order number so we can adjust the refund destination.,REFUND_RETURN,False,4.5
pair_301,tw_301,"I accidentally ordered two monitors instead of one. I clicked cancel order 5 minutes ago, will it be canceled?","If the order hasn't entered dispatch, cancellation will succeed! DM us your order number so we can check immediate status.",CANCELLATION,False,4.5
pair_302,tw_302,Please cancel my subscribe and save order for coffee pods before it charges me next month.,You can manage subscriptions under your account or DM us your email so we can assist you with cancellation.,CANCELLATION,False,4.0
pair_401,tw_401,I see two separate charges of $49.99 on my Visa statement for the exact same order. Need immediate refund for double charge!,We take billing errors very seriously! Please send us a DM with your order number and email address so we can audit charges.,PAYMENT_CHARGE,True,4.5
pair_402,tw_402,My gift card code keeps saying already redeemed when I haven't used it. Was it stolen?,"For security reasons regarding gift cards, please send us a DM with your gift card details and order claim code.",PAYMENT_CHARGE,True,4.0
pair_501,tw_501,I am locked out of my Amazon account and the OTP is being sent to an old phone number I no longer have access to.,We can help you update your verification phone number! Please DM us your registered account email address for identity check.,ACCOUNT_ACCESS,True,4.0
pair_502,tw_502,Someone logged into my account from abroad and ordered an expensive laptop. I suspect fraudulent unauthorized activity!,Please reach out via DM immediately so our Account Security team can lock the unauthorized order and secure your account.,ACCOUNT_ACCESS,True,5.0
pair_601,tw_601,The glass jar of sauce inside my package arrived completely shattered and leaked all over the other items.,We are so sorry for the damaged items! Please send us a DM with photos of the package and your order number for a replacement.,DAMAGED_WRONG_MISSING_ITEM,False,5.0
pair_602,tw_602,Ordered size 10 running shoes but received size 7 in the box. Wrong item sent.,Apologies for sending the wrong size! Please DM us your order ID so we can send the correct item right away.,DAMAGED_WRONG_MISSING_ITEM,False,4.5
pair_701,tw_701,I was auto-renewed for Amazon Prime annual membership yesterday. Can I cancel and get a full refund?,"If Prime benefits haven't been used since renewal, you are eligible for a full refund! DM us your account email to proceed.",PRIME_SUBSCRIPTION,False,4.5
pair_801,tw_801,Shoutout to Amazon Help delivery team for getting my daughter's birthday gift delivered in terrible snow weather!,Thank you so much for the kind words! We will pass this feedback to our local delivery team. Have a wonderful day!,GENERAL_OTHER,False,5.0
pair_gold_019,tw_gold_019,Tracking for order #4019-900057 has not updated for 6 days. Is it lost in transit?,We apologize for the issue! Please send us a Direct Message (DM) with your order details so our team can assist you right away.,DELIVERY_STATUS,False,5.0
pair_gold_020,tw_gold_020,"Estimated delivery was 2 PM today for #4020-900060. Courier shows delayed, when will it arrive?",We apologize for the issue! Please send us a Direct Message (DM) with your order details so our team can assist you right away.,DELIVERY_STATUS,False,4.0
pair_gold_021,tw_gold_021,"Returned item #4021-900063 via UPS locker 3 days ago, still waiting for credit card refund.",We apologize for the issue! Please send us a Direct Message (DM) with your order details so our team can assist you right away.,REFUND_RETURN,False,4.5
pair_gold_022,tw_gold_022,How long does a refund take for order #4022-900066 after dropoff at Kohl's?,We apologize for the issue! Please send us a Direct Message (DM) with your order details so our team can assist you right away.,REFUND_RETURN,False,3.5
pair_gold_023,tw_gold_023,Can I cancel order #4023-900069? It was placed by mistake 10 minutes ago.,We apologize for the issue! Please send us a Direct Message (DM) with your order details so our team can assist you right away.,CANCELLATION,False,4.0
pair_gold_024,tw_gold_024,Unrecognized charge of $27.99 on my card under Amazon Market. Order #4024-900072.,We apologize for the issue! Please send us a Direct Message (DM) with your order details so our team can assist you right away.,PAYMENT_CHARGE,True,4.5
pair_gold_025,tw_gold_025,Payment failed for order #4025-900075 but my bank account shows funds deducted.,We apologize for the issue! Please send us a Direct Message (DM) with your order details so our team can assist you right away.,PAYMENT_CHARGE,True,3.0
